 ,Electronic Engineering,Philosophy,Materials Science,Physics,Mathematics,Psychology,Engineering,Artificial Intelligence,Computer Science,Chemistry,Nanotechnology,Medicine,Radiology,Biology,Biomedical Engineering,Data-mining,Neuroscience,Biotechnology,Computational Biology,Electrical Engineering
1970,1,0.544408826,0.947547189,0.879097084,0.967886962,0.663848752,0.897373347,0.72924412,0.662195866,0.691467349,0.683788027,0.578575302,0.535308683,0.597568894,0.620009924,0.608162556,0.506516959,0.61553146,0.481274547,1
1971,1,0.550078966,0.953888445,0.886520028,0.974478149,0.670749752,0.903992692,0.732887346,0.678700151,0.69681278,0.684704294,0.582984654,0.538929509,0.601937399,0.619467066,0.612850936,0.513429717,0.616991713,0.480940238,1
1972,1,0.556560647,0.960987638,0.893582006,0.977524154,0.676001964,0.908714384,0.735491379,0.695172218,0.701959417,0.687820496,0.587737876,0.543789798,0.606486848,0.618134196,0.621651905,0.518958353,0.618615,0.481950202,1
1973,1,0.563799553,0.964679626,0.899953841,0.981439755,0.68211135,0.915081985,0.741257107,0.710282089,0.707147903,0.691054319,0.592535769,0.548221493,0.611138752,0.61732907,0.628792267,0.525472931,0.620111935,0.482397838,1
1974,1,0.570637846,0.970350099,0.905043683,0.984777504,0.687211317,0.922958669,0.744201862,0.722225829,0.71137531,0.694154548,0.596827275,0.550850633,0.615175443,0.618081698,0.6372452,0.529728263,0.620043911,0.482801692,1
1975,1,0.577124625,0.973082121,0.908140825,0.985105381,0.688105703,0.926851453,0.746692915,0.733017789,0.714984975,0.698775175,0.60080402,0.556184879,0.619032236,0.616616533,0.645095475,0.529266631,0.620303745,0.482813368,1
1976,1,0.583722882,0.977816491,0.911618721,0.984375469,0.689811965,0.929811759,0.74882213,0.743695272,0.718477781,0.703054203,0.605202632,0.561257586,0.623016728,0.617248751,0.652482288,0.532083334,0.622341521,0.483353012,1
1977,1,0.590953852,0.980740595,0.914980335,0.985318425,0.691680007,0.932815986,0.750056249,0.752263431,0.721919013,0.706127351,0.609570331,0.566542024,0.626856851,0.619401094,0.65958132,0.5344919,0.624773823,0.484287199,1
1978,1,0.597346818,0.984861352,0.917950858,0.985213583,0.693858797,0.935611678,0.749422944,0.759401768,0.725395474,0.710840345,0.61415302,0.572891853,0.630879997,0.619909023,0.667086736,0.537322221,0.625925062,0.485203022,1
1979,1,0.601103505,0.991120388,0.920737282,0.982883563,0.694984237,0.940036875,0.743292574,0.764152382,0.728680349,0.716483103,0.618415536,0.57804719,0.63461321,0.62105521,0.674673177,0.540230586,0.626674639,0.486785033,1
1980,1,0.606444517,0.996165777,0.923972813,0.979934393,0.696863894,0.944521895,0.743747004,0.772618603,0.731503745,0.722062702,0.622335573,0.581660842,0.637987039,0.623797354,0.681827198,0.542928754,0.62694703,0.486380446,1
1981,1,0.612941312,1,0.926391877,0.977932583,0.69950886,0.946332517,0.742562408,0.779412674,0.734454931,0.725689723,0.626483431,0.585328675,0.641548057,0.623473249,0.691127737,0.546664166,0.628736211,0.485929925,1
1982,1,0.620501717,1,0.928191158,0.975498518,0.701758556,0.950925899,0.743328873,0.786730042,0.736825257,0.728255785,0.63043265,0.590334457,0.644993317,0.625287126,0.696164017,0.549405308,0.631113017,0.484481377,1
1983,1,0.627851219,1,0.92993011,0.973042685,0.703056857,0.954989991,0.745718833,0.794503925,0.73874278,0.732623027,0.633943284,0.593914437,0.647919245,0.626527685,0.703354815,0.552032835,0.633110269,0.48341841,1
1984,1,0.634888589,1,0.932337135,0.973047854,0.704902609,0.958398792,0.748625353,0.802790139,0.740274298,0.735085138,0.637350589,0.598159321,0.650675952,0.627786557,0.711138223,0.554411548,0.633611297,0.4822201,1
1985,1,0.63981025,1,0.934023978,0.969838045,0.706152131,0.960755351,0.748639362,0.808179791,0.741997086,0.73813268,0.640712664,0.601289177,0.653292564,0.628757519,0.717849523,0.556231327,0.635662854,0.480916767,1
1986,1,0.646513362,1,0.936775643,0.968597367,0.707993733,0.964864984,0.754067049,0.816916832,0.743695408,0.741641159,0.643944577,0.604927551,0.65592258,0.631107645,0.724745002,0.558955169,0.639457543,0.479460436,1
1987,1,0.653771341,1,0.938919806,0.96741622,0.710644668,0.967805628,0.759258844,0.825471841,0.74516678,0.746583289,0.646885202,0.607383015,0.658090792,0.632429373,0.730561552,0.561101247,0.642452041,0.476877947,1
1988,1,0.660020603,1,0.940969013,0.966972836,0.713270296,0.971527549,0.768120577,0.835321896,0.746560814,0.751721815,0.649835172,0.610740635,0.660130522,0.634654084,0.741338813,0.56442972,0.641743521,0.473971077,1
1989,1,0.666246448,1,0.942171515,0.964963391,0.715521435,0.974774373,0.774248211,0.844408807,0.747679862,0.75762838,0.652521608,0.614153109,0.661721501,0.635179385,0.747849655,0.566571048,0.641885587,0.468978599,1
1990,1,0.673892304,1,0.943959282,0.963209925,0.717632103,0.975830211,0.781416687,0.852843964,0.748364163,0.763251842,0.654793738,0.616286001,0.663001649,0.63571641,0.75524252,0.56893441,0.639721436,0.463786681,1
1991,1,0.681237537,1,0.946582017,0.962575535,0.720313482,0.978711513,0.789403346,0.86223305,0.749357519,0.770326132,0.657120937,0.619483573,0.66423058,0.638393818,0.75980565,0.57185711,0.634898237,0.459537059,1
1992,1,0.68601523,1,0.947244347,0.960469667,0.722690425,0.979072443,0.792905211,0.866750866,0.749990792,0.776630777,0.65919835,0.622629363,0.665075189,0.639769972,0.765244052,0.574046126,0.625375101,0.453975723,1
1993,1,0.694213322,1,0.948694874,0.959275669,0.725735598,0.979098417,0.797922319,0.869253509,0.749986039,0.781616193,0.660561339,0.625569186,0.665135294,0.641732899,0.766445089,0.576128648,0.610367703,0.446480345,1
1994,1,0.701254457,1,0.949349811,0.955905232,0.728608022,0.976449002,0.798230545,0.866696055,0.749732271,0.785543452,0.66151727,0.628876511,0.664544626,0.643470526,0.76635523,0.577224429,0.58966398,0.437982046,1
1995,1,0.711418903,1,0.949881549,0.952867708,0.732061948,0.971221603,0.79848599,0.860956222,0.748781993,0.785991218,0.662517652,0.632274402,0.663806214,0.645711636,0.762636264,0.577966219,0.56708674,0.428712575,1
1996,1,0.722970856,1,0.951082806,0.949638218,0.735885118,0.965273353,0.798132261,0.853192113,0.747506588,0.787185792,0.663363575,0.635986709,0.662612643,0.647659769,0.758570919,0.577933415,0.542310069,0.418715868,1
1997,1,0.736389027,1,0.953562374,0.947124761,0.740390003,0.957771545,0.79766079,0.843151483,0.746141417,0.789727532,0.664188007,0.640278527,0.661188392,0.652085004,0.753348371,0.577553774,0.515394103,0.407509019,1
1998,1,0.75023888,1,0.95575399,0.944056032,0.745309796,0.947533633,0.796330369,0.832815999,0.744694791,0.790217178,0.665051,0.644625508,0.6596537,0.656477687,0.74991449,0.577410987,0.495535076,0.396763961,1
1999,1,0.764815625,1,0.957577838,0.940432147,0.75078086,0.933829689,0.793913731,0.821660856,0.74315241,0.789294377,0.665750492,0.649280484,0.657981621,0.661037781,0.745906352,0.576830667,0.479907495,0.386676955,1
2000,1,0.781315332,1,0.957961365,0.934505538,0.755495495,0.918843823,0.789792053,0.810120339,0.741058183,0.783882383,0.665889877,0.652606767,0.655673455,0.663749715,0.734434971,0.574715009,0.465051217,0.376774431,1
2001,1,0.797092228,1,0.957603499,0.928102885,0.760056651,0.904470139,0.783877403,0.799837635,0.739070537,0.777619542,0.665986533,0.656255394,0.653205976,0.664682666,0.720736751,0.571415093,0.452495119,0.366979812,1
2002,1,0.812978415,1,0.95574877,0.920381881,0.764572917,0.890145996,0.775556292,0.789932018,0.736525321,0.768794867,0.665387498,0.658584938,0.650037465,0.664322734,0.699731679,0.567091026,0.439969726,0.356203246,1
2003,1,0.830028816,1,0.95291866,0.9106145,0.768286256,0.875734381,0.764020749,0.778835827,0.733641226,0.761587132,0.664272726,0.660640891,0.646086678,0.66306973,0.672823032,0.561112903,0.427624135,0.346210625,1
2004,1,0.846218798,1,0.948828189,0.900313874,0.772362287,0.861927259,0.752638534,0.766804681,0.730214514,0.754118389,0.662669144,0.662303897,0.641384703,0.658957065,0.643193437,0.553705885,0.415889583,0.336519849,1
2005,1,0.863233765,1,0.943440991,0.888743517,0.77585032,0.84877475,0.740858466,0.756750792,0.726924989,0.746945732,0.660817373,0.663287849,0.63655727,0.653348716,0.616111149,0.546318507,0.40558538,0.328641857,1
2006,1,0.87803482,1,0.937239356,0.878801933,0.777902054,0.837421366,0.731905072,0.749412266,0.723104151,0.740002743,0.658524478,0.66272442,0.631580491,0.645026164,0.595632611,0.538015684,0.397012808,0.323992025,1
2007,1,0.891850989,1,0.931174721,0.869183221,0.780757292,0.827224831,0.723942774,0.74226769,0.719699813,0.735085247,0.656398989,0.662105551,0.626739385,0.638635208,0.579060725,0.530054391,0.389529434,0.320308019,0.994615516
2008,1,0.905205777,1,0.923961998,0.86112648,0.78266248,0.81838523,0.718742021,0.737282501,0.715676358,0.729955927,0.654189994,0.659737952,0.622100169,0.63091763,0.567816379,0.522202765,0.383326874,0.318520397,0.977779104
2009,1,0.915053838,1,0.91626097,0.854089645,0.784179508,0.810657781,0.715214727,0.733114866,0.711535778,0.725369915,0.652320174,0.657122051,0.618065503,0.623648144,0.560906126,0.514429733,0.378161783,0.318333908,0.962590041
2010,1,0.923289241,0.990195142,0.908982206,0.847850529,0.785187469,0.803702406,0.7125918,0.729200228,0.707593858,0.719684808,0.64971339,0.652192708,0.613496375,0.615454181,0.556412157,0.50657133,0.373500069,0.318006004,0.949927289
2011,1,0.930664808,0.976175806,0.901454141,0.84272264,0.785814954,0.797077168,0.710679748,0.725743611,0.703586989,0.713788558,0.647058209,0.646097871,0.609090607,0.607383179,0.554301424,0.498733103,0.36980202,0.318573668,0.938391661
2012,1,0.938673709,0.963801171,0.89447106,0.838442546,0.786256687,0.791057905,0.709609502,0.722624618,0.699379116,0.708530283,0.644236385,0.639120105,0.604564637,0.600698424,0.553053952,0.490770274,0.365887158,0.319466793,0.928894319
2013,1,0.945115148,0.952444504,0.888496421,0.83505393,0.786536074,0.785868453,0.709251372,0.720635108,0.695513329,0.703993865,0.641489829,0.631671198,0.600388049,0.594442095,0.553270258,0.483695907,0.36232927,0.321384019,0.921094772
2014,1,0.950604066,0.941641634,0.882754489,0.832375145,0.78655168,0.781192224,0.709847045,0.718619709,0.691980186,0.699791069,0.638993087,0.623964609,0.596543188,0.589351289,0.554164012,0.476837224,0.359293542,0.323935372,0.913211825
2015,1,0.957447763,0.928437076,0.875640579,0.829614986,0.786458914,0.775811398,0.710248566,0.716249238,0.688276299,0.69269755,0.636386015,0.615559737,0.592625061,0.584672863,0.555367757,0.470476949,0.356008189,0.327096213,0.903875035
2016,1,0.962532634,0.913871017,0.867700432,0.826267133,0.785430453,0.769576318,0.710486246,0.713035491,0.684158384,0.683568466,0.63347211,0.606669512,0.588468507,0.579377119,0.556324548,0.464180975,0.352316914,0.330210129,0.892995458
2017,1,0.966320562,0.899936816,0.859358923,0.822492285,0.782654205,0.762971964,0.710272442,0.709196686,0.679828563,0.674474592,0.630278184,0.602223075,0.58436081,0.572936813,0.557436297,0.45739852,0.348297292,0.333031461,0.881704059
2018,1,0.96716986,0.890800053,0.852609149,0.818147898,0.778666834,0.756796095,0.708060036,0.704440817,0.675975156,0.669299185,0.626757529,0.598281645,0.58057332,0.567617124,0.556152101,0.45083915,0.344495371,0.334339617,0.87220611
2019,1,0.966461652,0.882501967,0.846489616,0.813883555,0.773637205,0.750375425,0.704514665,0.699088163,0.672362249,0.665328769,0.623570685,0.592654486,0.57740906,0.561599418,0.5546561,0.444135112,0.340776664,0.334595291,0.862939114
2020,1,0.96592927,0.879557557,0.844112555,0.812201452,0.771294465,0.747953038,0.702769139,0.697089119,0.671122731,0.66391475,0.622642001,0.589744608,0.576462183,0.559091355,0.55431769,0.441643454,0.339494794,0.334373405,0.859488483
