 ,Chemistry,Physics,Materials Science,Engineering,Biology,Environmental Science,Geology,Medicine,Mathematics,Computer Science,Geography,Business,Economics,Psychology,Political Science,Sociology,History,Art
1955,0.686924136,0.67513128,0.686842521,0.679437887,0.609891724,0.704731248,0.727840976,0.628326463,0.665157034,0.556043937,0.665737949,0.753170432,0.669758894,0.467660515,0.527628207,0.575328342,0.555585737,0.379215626,
1956,0.692426422,0.679475831,0.691538777,0.682789931,0.616172954,0.698898428,0.724473537,0.634138795,0.668867929,0.556923685,0.666456913,0.763646417,0.673960797,0.473738316,0.528186524,0.57857459,0.554424304,0.378123248,
1957,0.698047085,0.684493069,0.699297443,0.686936722,0.622577709,0.700590096,0.723743742,0.639472932,0.672181821,0.561125224,0.668273574,0.767207332,0.673530434,0.479946128,0.528778706,0.57893325,0.549501675,0.376394926,
1958,0.705434754,0.691487967,0.706154607,0.690314739,0.629401546,0.704041611,0.728832297,0.645385277,0.676873557,0.56401298,0.671345971,0.764872398,0.676275035,0.486261691,0.530959817,0.578946766,0.546289269,0.376810033,
1959,0.712779299,0.697092137,0.710831591,0.695618704,0.63714176,0.707519874,0.731011116,0.651507249,0.681491517,0.566584525,0.673752189,0.766204736,0.676899103,0.491919982,0.529785738,0.575098961,0.542735813,0.37651993,
1960,0.719789808,0.701507554,0.716179273,0.693461347,0.644144015,0.708251093,0.733261382,0.65738792,0.684492917,0.568395891,0.673459564,0.772166581,0.671251599,0.496729842,0.528158217,0.568985162,0.537677343,0.375316516,
1961,0.726487004,0.708351964,0.724130734,0.698882252,0.651096438,0.707203266,0.733303335,0.662760316,0.687653301,0.571855934,0.671578486,0.772578676,0.668082455,0.502725865,0.529429638,0.564497527,0.534544528,0.375839152,
1962,0.733972214,0.715577743,0.730752841,0.707574547,0.659094468,0.709516507,0.735009244,0.669269827,0.69160885,0.575370907,0.670938421,0.758759158,0.663188635,0.509976891,0.527244004,0.558622065,0.529074505,0.375351176,
1963,0.742287903,0.723578212,0.740062347,0.716699604,0.666360928,0.717767835,0.742759201,0.67576115,0.695602946,0.580136585,0.668413499,0.743832062,0.660074447,0.517367074,0.524963683,0.555263631,0.525675623,0.374608368,
1964,0.750763875,0.731210591,0.747156266,0.724276253,0.674198568,0.721139036,0.751571771,0.682413028,0.701540997,0.583209275,0.669311358,0.749791797,0.663463301,0.525707639,0.524541289,0.551424249,0.520977416,0.374746059,
1965,0.758816247,0.741067653,0.757670082,0.731893518,0.681669027,0.721977601,0.756818175,0.68896613,0.709483647,0.588870197,0.667017059,0.752514467,0.662830509,0.534175002,0.523241963,0.546001039,0.5158618,0.373598782,
1966,0.762507201,0.750931641,0.769331815,0.739048765,0.686305629,0.728115251,0.768507567,0.693859491,0.717519747,0.594425494,0.671123028,0.756619283,0.661887139,0.544014004,0.52481905,0.542673887,0.514441178,0.376516718,
1967,0.769296242,0.7604712,0.780241583,0.749331159,0.692805117,0.733501149,0.777576884,0.700024531,0.72597056,0.600263026,0.671999845,0.76360475,0.660624186,0.553730454,0.524208685,0.537825355,0.509746176,0.37769026,
1968,0.775394179,0.767729363,0.791183143,0.761579724,0.698449505,0.739247903,0.784629347,0.705817846,0.732656273,0.609338591,0.673375764,0.769117447,0.661983198,0.564203132,0.523725871,0.534538067,0.507189351,0.378930862,
1969,0.780672592,0.775335176,0.798255205,0.772047645,0.70443657,0.747663382,0.794947395,0.711669232,0.739460275,0.620489239,0.67596772,0.772456289,0.664005931,0.573326189,0.525721766,0.531061746,0.505013513,0.380862597,
1970,0.785399941,0.780248165,0.804451937,0.778626254,0.710048683,0.755021356,0.805459954,0.717138184,0.745240896,0.629113873,0.678180229,0.773263289,0.666704398,0.583106098,0.528313092,0.527261543,0.500839793,0.383534919,
1971,0.791622069,0.787631601,0.814100589,0.78870184,0.716466404,0.765756678,0.815083078,0.72328545,0.751588465,0.641610777,0.680732498,0.781607242,0.669919221,0.591762763,0.528802149,0.523833232,0.497069651,0.385904461,
1972,0.797024647,0.793812067,0.821165873,0.796341934,0.722410827,0.775962714,0.822477686,0.729231472,0.758210197,0.65217436,0.683572304,0.78469725,0.673035071,0.599090768,0.529612056,0.520277298,0.494968321,0.388460254,
1973,0.802942145,0.799982495,0.828947371,0.804544544,0.728996292,0.786491848,0.828974456,0.736119918,0.763430129,0.65977055,0.687788065,0.783810701,0.675175003,0.607155318,0.531914813,0.514179978,0.490631621,0.390768132,
1974,0.808602395,0.80469107,0.835216104,0.811518007,0.735596803,0.795147289,0.835323405,0.743065059,0.765727474,0.663616607,0.691063443,0.78445727,0.673291991,0.614811163,0.533748239,0.51020205,0.486159996,0.392748194,
1975,0.815063472,0.810138787,0.842941986,0.819260334,0.742505815,0.807155887,0.840850434,0.750045216,0.769222937,0.669819952,0.694750765,0.786584275,0.673505942,0.620857887,0.533986242,0.508750425,0.481225572,0.394147017,
1976,0.820987819,0.815219811,0.850215864,0.826401547,0.749142998,0.81708587,0.846922792,0.756963744,0.770976166,0.675156539,0.698558477,0.789638691,0.670528402,0.627230463,0.530119295,0.50864661,0.476194956,0.395741866,
1977,0.826871955,0.820977126,0.858050237,0.834141742,0.755606477,0.823527415,0.853980067,0.763753705,0.773216517,0.680715227,0.699820194,0.786361217,0.672439619,0.633057832,0.529358421,0.509239497,0.471050566,0.397655746,
1978,0.833231294,0.825756328,0.865469088,0.840292173,0.762439686,0.835591401,0.85887148,0.771010862,0.774652406,0.684903025,0.702855185,0.787272637,0.674560712,0.637512715,0.527965214,0.508082237,0.466477095,0.398826433,
1979,0.839304805,0.829399677,0.872039309,0.847137313,0.768775598,0.847788523,0.865839163,0.777562469,0.774908111,0.6844991,0.708235913,0.787199688,0.676063534,0.640848599,0.525756466,0.505785724,0.461582449,0.399238588,
1980,0.84578306,0.83399589,0.879339471,0.853017517,0.77506005,0.855833002,0.869127321,0.784399735,0.774191675,0.684534331,0.709480345,0.785573303,0.677659077,0.642765798,0.52456171,0.50249453,0.454858463,0.399719298,
1981,0.8522046,0.838499478,0.886221716,0.857308807,0.781590299,0.865375186,0.872233634,0.790686283,0.774361897,0.685291517,0.711494902,0.778941595,0.67793956,0.645412039,0.52156608,0.501296486,0.449399343,0.400066535,
1982,0.858769217,0.842383999,0.893196418,0.864174392,0.788185636,0.872626547,0.873224777,0.797381689,0.775202603,0.688385267,0.710720175,0.768224915,0.675097723,0.646795403,0.515114269,0.497771102,0.443757632,0.399436778,
1983,0.864750289,0.84703484,0.900966659,0.871017101,0.794600283,0.882189462,0.878939933,0.803784229,0.776843676,0.690006559,0.711656137,0.766703193,0.675425588,0.648444073,0.513854783,0.495789525,0.440481287,0.399275931,
1984,0.870898729,0.849846997,0.907470372,0.875559867,0.800613906,0.89307064,0.88375189,0.809895084,0.777439202,0.689704608,0.712187567,0.76538898,0.67487833,0.649300487,0.509910075,0.492807262,0.437733142,0.399170136,
1985,0.876557257,0.854266537,0.914137041,0.88150874,0.806764616,0.898076588,0.887255625,0.815941485,0.77909403,0.691433502,0.714684916,0.762068404,0.674346347,0.650317789,0.505561253,0.490250613,0.434977676,0.398707987,
1986,0.882720948,0.857483584,0.921368869,0.885874333,0.813264001,0.905841203,0.890655873,0.821878777,0.779497157,0.692129508,0.716044309,0.758323191,0.674844369,0.650393935,0.501126028,0.488243142,0.431212739,0.397406296,
1987,0.888519771,0.861354125,0.929294342,0.889895962,0.818995404,0.909324262,0.894216825,0.827449856,0.780139338,0.69278269,0.717299959,0.753897698,0.674608504,0.650307403,0.498757997,0.485718206,0.427801689,0.396388361,
1988,0.895034444,0.865326984,0.936382563,0.8958754,0.825140321,0.915921383,0.896862844,0.833266461,0.780109079,0.694313537,0.719624404,0.74840254,0.673529682,0.649960699,0.49447291,0.482611355,0.424852661,0.396189898,
1989,0.901466365,0.870558261,0.945169825,0.901680215,0.831378493,0.922751709,0.900447419,0.839207704,0.780753603,0.696482242,0.721337192,0.743962505,0.672393928,0.648933814,0.490308326,0.479350022,0.422065529,0.395765681,
1990,0.908257767,0.87521015,0.954133675,0.904832281,0.83761836,0.929206775,0.904631921,0.844477117,0.780768369,0.698191973,0.722760048,0.739874636,0.670933315,0.647722246,0.484492667,0.475795927,0.41893683,0.394772699,
1991,0.915252065,0.879953602,0.962829355,0.909719341,0.84396534,0.93538895,0.907460492,0.849995483,0.780996053,0.700288346,0.724983818,0.734817417,0.669424766,0.646928385,0.479965182,0.473089749,0.415984812,0.394107174,
1992,0.922246431,0.883868879,0.971163938,0.913421364,0.850188994,0.940881197,0.911275739,0.855115905,0.78111592,0.701619718,0.726858659,0.729184181,0.668003324,0.644892928,0.475666163,0.469845257,0.413260655,0.393584539,
1993,0.929968365,0.888281512,0.980425191,0.916742139,0.856769769,0.948108258,0.915525484,0.860424101,0.780519765,0.702276598,0.727343872,0.720744614,0.666575347,0.642376021,0.473097815,0.466034955,0.409647658,0.392058605,
1994,0.937650724,0.891746337,0.990210903,0.920266533,0.863242326,0.953257576,0.916238879,0.86560135,0.779922787,0.703865294,0.72749295,0.71851259,0.664987069,0.640098182,0.471902496,0.463751395,0.406662098,0.389993443,
1995,0.945813943,0.895470945,0.998970388,0.923020419,0.870276998,0.956257079,0.918912044,0.871463095,0.77987509,0.705230999,0.728828198,0.716068508,0.663493635,0.638086536,0.471040387,0.461288386,0.404320381,0.388473692,
1996,0.953792262,0.899841583,1,0.92546956,0.877098466,0.960965867,0.922672086,0.87707028,0.78016365,0.706827303,0.72905493,0.715386594,0.662276493,0.636185919,0.469969789,0.459371853,0.402401224,0.386431701,
1997,0.962683019,0.904992769,1,0.928582982,0.88499619,0.965091594,0.926779907,0.883557444,0.781098716,0.709340333,0.730429434,0.714748852,0.661213071,0.635154233,0.469474665,0.457822255,0.401049364,0.384583838,
1998,0.971521627,0.910198281,1,0.93142068,0.893036437,0.969102185,0.929818872,0.890469329,0.782369102,0.711584788,0.730834215,0.713150648,0.660107354,0.634169227,0.468454077,0.456630783,0.399934725,0.382498729,
1999,0.980869477,0.915908839,1,0.933843024,0.901239294,0.972458233,0.93327956,0.897100158,0.783525121,0.71399522,0.731102212,0.712666296,0.660121782,0.632873226,0.468139474,0.455367403,0.399159401,0.380498319,
2000,0.99044617,0.920881864,1,0.936716464,0.909316012,0.974758024,0.936597687,0.90360004,0.785133228,0.716859462,0.731215868,0.712304518,0.65938292,0.631918797,0.467573171,0.454323149,0.399114979,0.378739314,
2001,1,0.926237629,1,0.937984829,0.917291654,0.976988898,0.939981903,0.909398049,0.78621218,0.718276877,0.730792511,0.711414943,0.659210165,0.630058957,0.467659666,0.453377823,0.39906046,0.377668811,
2002,1,0.931300096,1,0.940346186,0.92519308,0.977575743,0.9426533,0.915238498,0.787791679,0.721239138,0.729618654,0.710086222,0.658854345,0.628451082,0.467735576,0.452607025,0.399193672,0.375862237,
2003,1,0.935665417,1,0.942220744,0.932258291,0.97885367,0.945073148,0.920041983,0.789784586,0.724847186,0.729926114,0.709432696,0.659494669,0.626488127,0.468512901,0.452425186,0.399450567,0.374742714,
2004,1,0.941036497,1,0.945106213,0.939269519,0.980213034,0.948665977,0.924129531,0.792794655,0.730029118,0.730497623,0.70864243,0.660476168,0.625017385,0.469992749,0.452703541,0.401093989,0.374578455,
2005,1,0.94684236,1,0.948535483,0.945942083,0.981059405,0.95230052,0.928159788,0.795958205,0.735191538,0.730594424,0.707980773,0.661399204,0.623609902,0.471567734,0.45299356,0.402355167,0.374259262,
2006,1,0.952519526,1,0.95195117,0.952440508,0.982691553,0.955309888,0.931891144,0.800022014,0.740770202,0.731168849,0.70756746,0.662840602,0.622089103,0.472768415,0.453424725,0.404117739,0.374009639,
2007,1,0.958519361,1,0.955147528,0.958297993,0.982877601,0.9586372,0.934712533,0.803732288,0.745709567,0.731419342,0.707114833,0.664454653,0.620725895,0.474639634,0.45451082,0.406703062,0.374659072,
2008,1,0.964914847,1,0.959057667,0.963691585,0.984943965,0.96324496,0.937236842,0.806871972,0.750480522,0.731649163,0.706513729,0.665706117,0.619128368,0.47575834,0.455126327,0.409568885,0.375198939,
2009,1,0.97012745,1,0.962092103,0.968167232,0.98557454,0.966696951,0.939314144,0.81168469,0.756221485,0.731878771,0.706879893,0.667957281,0.617980874,0.477124476,0.456175442,0.412641404,0.375559682,
2010,1,0.974995481,1,0.965867361,0.971955593,0.985993116,0.970854317,0.940372522,0.816569554,0.761979151,0.732554144,0.707420765,0.67034554,0.617017314,0.479281713,0.457647882,0.415447095,0.376621019,
2011,1,0.979949608,1,0.969680585,0.975523235,0.986894802,0.974530748,0.941352346,0.821540277,0.76738909,0.732173167,0.708511783,0.672904734,0.616551953,0.481444532,0.459210469,0.418140301,0.377752359,
2012,1,0.984602968,1,0.973762731,0.978696524,0.987412002,0.977165494,0.942325285,0.826737813,0.773192068,0.733514858,0.710157194,0.676139213,0.616553568,0.483798721,0.461170455,0.421536515,0.379269564,
2013,1,0.989783791,1,0.977891287,0.981250947,0.987850618,0.980779612,0.943039643,0.831761196,0.778598909,0.73534185,0.712263825,0.679558485,0.616881684,0.48651158,0.46307425,0.425349205,0.380880577,
2014,1,0.994440446,1,0.981847165,0.983306671,0.98819354,0.982971841,0.943679898,0.836799548,0.784033335,0.737029484,0.713491072,0.683073482,0.617534631,0.489265723,0.465296415,0.429277548,0.382994342,
2015,1,0.998545728,1,0.985560378,0.985233504,0.98900889,0.984686502,0.944420274,0.841700342,0.789047177,0.738885173,0.715034838,0.686476184,0.618410683,0.491748352,0.46723364,0.433101471,0.385294779,
2016,1,1,1,0.9891782,0.986343148,0.989035495,0.985212069,0.944912798,0.846166712,0.794135058,0.74081199,0.716228341,0.689675899,0.619464694,0.493716156,0.468981958,0.436838579,0.387836705,
2017,1,1,1,0.991971698,0.986303128,0.987737091,0.984484635,0.944844097,0.850246451,0.798751695,0.742346645,0.71716285,0.692788752,0.620648503,0.495334521,0.470693747,0.440580317,0.39095923,
2018,1,1,1,0.993192382,0.985130239,0.985061969,0.982863434,0.943823628,0.853270069,0.802143943,0.743628682,0.717220953,0.69486183,0.621269512,0.496245055,0.472022077,0.443809506,0.394224417,
2019,1,1,1,0.993409538,0.983751797,0.981879986,0.980438146,0.942692869,0.855429416,0.804554298,0.744521285,0.71691315,0.696746009,0.622071866,0.49729238,0.473352102,0.447040108,0.397808561,
2020,1,1,1,0.993132637,0.983327884,0.980732963,0.979538444,0.94239409,0.855848831,0.805015029,0.744751101,0.716905024,0.697468204,0.622418866,0.497777817,0.473818555,0.447983486,0.399177354,
